SMILES,QED,ChemAIrank
CCOC(=O)C1CCN(C(=O)CSc2nnc(COc3ccccc3F)n2C(C)C2CC3CCC2C3)CC1,31.1,25.81
Cc1c(CC(=O)NCc2ccc(-n3ccnc3)c(F)c2)nnn1-c1ccccc1,54.92,26.02
CC(C1CC2CCC1C2)n1c(COc2ccccc2F)nnc1SCC(=O)NCC12CC3CC(CC(C3)C1)C2,34.47,33.86
CCOC(=O)c1c(C)[nH]c(C(=O)CSc2nnc(COc3ccccc3F)n2C(C)C2CC3CCC2C3)c1C,17.39,28.27
Cc1cnc(C(=O)NCc2ccc(-n3ccnc3C)c(F)c2)cn1,79.9,29.4
CC(C1CC2CCC1C2)n1c(COc2ccccc2F)nnc1SCC(=O)N(CCC#N)c1ccccc1F,26.51,26.51
CC(C1CC2CCC1C2)n1c(COc2ccccc2F)nnc1SCC(=O)N(C)c1ccccc1,35.47,33.42
CC(C)(C)c1ncc(NC(=O)c2cc(-c3ccccc3)c(N3CCOCC3)s2)cn1,66.6,27.08
Cc1cccc(NC(=O)C2CCN(C(C)C(=O)N3CCc4sccc4C3)CC2)n1,83.82,27.41
Cc1nccn1-c1ccc(CNC(=O)CN2C(=O)NC3(CCc4ccccc43)C2=O)cc1F,58.71,28.22
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)Nc1cccc(N2CCCC2)c1,85.33,36.37
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)N(C)CCc1ccccn1,87.08,38.07
Cc1cc(C2CCCN2C(=O)c2sc(Cc3ccccc3)nc2C)on1,68.91,23.55
Cc1nccn1-c1ccc(CNC(=O)c2nn(-c3ccccc3F)c(C)cc2=O)cc1F,52.19,34.17
Cc1ccc(N2C(=O)N(CC(=O)Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)C(=O)C2C)cc1,63.46,28.24
Cc1ccc(CCC2CCN(c3c(C#N)c(=O)n(C)c(=O)n3C)CC2)cc1,83.09,29.84
NC(=O)c1ccc(N2CCCCC2)c(NC(=O)c2csc(-c3ccc(Cl)cc3)n2)c1,59.57,25.14
Cc1nc(N(C)CC(=O)Nc2cc(C)on2)c2c3c(sc2n1)CCC3,77.28,27.39
Cc1noc2nc(-c3ccco3)cc(C(=O)NCc3ccc(-n4ccnc4C)c(F)c3)c12,44.41,32.17
N#Cc1cn(C2CC2)c(=O)n(CC(=O)Nc2cccc(N3CCCC3=O)c2)c1=O,81.27,27.37
COc1ccc(NC(=O)c2cc(S(N)(=O)=O)ccc2N2CCOCC2)cc1Cc1ccccc1,53.67,28.78
Cc1cc(C(=O)Cn2ncc(Cl)c(Cl)c2=O)c(C)n1CCC1=CCCCC1,51.25,35.56
O=C(CCSc1nnc(-c2c[nH]c3ccccc23)o1)Nc1ccc(N2CCCC2=O)cc1,40.53,26.83
Cc1cc(C)n(CC(C)CNC(=O)c2cc(F)cc3nc(C)c(C)nc23)n1,74.92,27.16
Cc1cc2occ(CC(=O)Nc3nc4c(s3)CN(Cc3ccccc3)CC4)c2cc1C,46.91,29.56
Cc1nc(C2(NC(=O)c3nn(-c4ccccc4F)c(C)cc3=O)CCCCC2)no1,70.81,23.74
Cc1nc(NC(=O)c2nc3nccc(C)n3n2)sc1Cc1ccc2c(c1)OCO2,55.37,25.95
CCCCn1nc(C(=O)Nc2cc(OC)c(OC)cc2C)c2ccccc2c1=O,65.84,33.77
Cc1ccc(N2C(=O)N(CC(=O)N3c4ccccc4NC(=O)C3(C)C)C(=O)C2C)cc1,77.34,30.05
N#Cc1c(NC(=O)COC(=O)CCS(=O)(=O)c2ccccc2)sc2c1CCCC2,67.32,24.25
CCc1c(C(=O)NCc2ccc(-n3ccnc3C)c(F)c2)cnn1C,77.56,28.97
Cc1ccc(-c2cc(C(=O)Nc3ccc(N4CC(C)OC(C)C4)nc3)n[nH]2)s1,70.12,26.61
CC(C)CN(C(=O)Cc1ccccc1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O,62.9,34.51
CC(c1nc(N)nc(Nc2ccccc2)n1)N1CCN(c2cnccn2)CC1,68.84,29.54
CCCc1nc2ccccc2n1CC(=O)Nc1ccc(C)c(S(=O)(=O)N2CCOCC2)c1,59,26.51
Cc1cc(NCc2ccc(N3CCCC3)nc2)nc(-c2cccnc2)n1,76.31,27.13
Cc1cc(NC2CCCN(c3ncccn3)C2)nc(-c2cccnc2)n1,77.7,26.41
Cc1cccc(NC(=O)c2cnc3c(c2)c(=O)[nH]c(=O)n3C2CC2)c1C,75.72,29.05
CCOC(=O)C(NC(=O)c1cnn(C(C)(C)C)c1)c1c(C)nn(Cc2ccccc2)c1C,57.12,26.45
N#Cc1nccnc1NCc1cccc(-c2nc(-c3ccncc3)no2)c1,58.08,26.29
COCCn1c(SCc2ccc(C#N)cc2)nc2sc3c(c2c1=O)CCCC3,45.03,26.48
CCN(CC)C(CNC(=O)c1ccc(C)[nH]c1=O)Cc1ccccc1,77.46,31.77
CCc1cc(C(=O)NCC(c2ccc(OC)cc2)N(C)C)[nH]n1,81.97,27.67
CN(C(=O)CSc1nc2sc3c(c2c(=O)[nH]1)CCCC3)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O,25.85,26.26
CC(Sc1nc2sc3c(c2c(=O)[nH]1)CCCC3)C(=O)Nc1ncc(Cl)cc1Cl,44.06,26.48
CC(Sc1nc2sc3c(c2c(=O)[nH]1)CCCC3)C(=O)NCc1ccco1,51.65,26.09
CC(NC(=O)CSc1nc2sc3c(c2c(=O)[nH]1)CCCC3)c1ccccc1,50.5,25.39
O=C(CSc1nc2sc3c(c2c(=O)[nH]1)CCCC3)N1N=C2C(=Cc3ccco3)CCCC2C1c1ccco1,24.45,29.04
N#Cc1cc(F)c(N2CCC(C(=O)N3CCCCC3)CC2)c(F)c1,83.56,33.23
Cc1cc(C(=O)Nc2cc(C)nn2CCC#N)c2c(C)nn(C)c2n1,78.66,28.98
CCc1cc2c(SCC(=O)N(CC)c3c(N)n(Cc4ccccc4)c(=O)[nH]c3=O)ncnc2s1,28.36,31.22
Cc1nnnn1C(Cc1ccc(F)cc1)C(=O)N1CCCC(c2nc3ccccc3[nH]2)C1,52.19,27.34
CCn1c2ccccc2c2cc(NC(=O)CSc3nnc(-c4ccc(Cl)cc4)n3-c3ccccc3)ccc21,21.48,29.82
Cn1c(SCC(=O)Nc2ccc(Cl)cn2)nc2sc3c(c2c1=O)CCCC3,51.46,27.41
Cn1c(SCC(=O)Nc2ccccc2OC(F)F)nc2sc3c(c2c1=O)CCCC3,44.91,26.26
COc1ccc(Cl)cc1NC(=O)C(C)Sc1nc2sc3c(c2c(=O)n1C)CCCC3,43.99,26.23
Cn1c(SCC(=O)NC(=O)Nc2ccc3c(c2)OCCO3)nc2sc3c(c2c1=O)CCCC3,43.06,26.46
COCCN(C(=O)CSc1nc2sc3c(c2c(=O)n1C)CCCC3)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O,22.56,29.84
Cn1c(SCC(=O)Nc2ccc(C(N)=O)cc2)nc2sc3c(c2c1=O)CCCC3,47.99,28.07
Cc1cc(=O)c(C(=O)NCc2ccc(Oc3cccnc3)c(F)c2)nn1-c1ccccc1C(F)(F)F,38.57,53.57
C=CCn1c(SC(C(=O)Nc2cc(C)ccc2C)c2ccccc2)nc2scc(-c3ccc(C)cc3)c2c1=O,12.19,27.45
C=CCn1c(SCC(=O)c2c(C)[nH]c3ccccc23)nc2scc(-c3ccc(C)cc3)c2c1=O,12.56,26.24
C=CCn1c(SCc2cn3cccc(C)c3n2)nc2scc(-c3ccc(C)cc3)c2c1=O,18.14,25.4
CC(C)N(Cc1cc2c(s1)CCC2)Cc1cc(=O)n(C)c(=O)n1C,83.16,59.59
C=CCn1c(SCC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)nc2scc(-c3ccc(C)cc3)c2c1=O,15.27,29.15
O=C(Nc1nnc(C2CC2)s1)C1CCCN1C(=O)c1ccc(Cl)c(Cl)c1,82.65,27.63
O=C(Nc1nnc(C2CC2)s1)C1CCCN1C(=O)c1cc(Cl)cc(Cl)c1,82.65,27.31
CC(C)C(=O)N1CCC(C(=O)NC(c2ccc3c(c2)CCCC3)c2cccs2)CC1,75.45,27.34
Cn1c(=O)c2cc(C(=O)N3CCc4sccc4C3c3cccs3)cnc2n(C)c1=O,48.2,28.2
CN(Cc1ccccc1C(F)(F)F)C(=O)CCn1c(=O)[nH]c(=O)c2ccccc21,70.94,30.75
CC(=O)N1CCc2cc(C(=O)Nc3cccc(S(=O)(=O)N(C)C)c3)ccc21,87.04,27.14
CC(=O)N1CCc2cc(C(=O)NC(CC(C)C)c3nc4ccccc4[nH]3)ccc21,69.14,29.2
COc1ccc(CC(=O)Nc2ncc(Cc3ccc(F)c(F)c3F)s2)cc1,63.52,24.73
Cc1nc2c(C#N)cnn2c(O)c1CC(=O)NC1CCCc2ccccc21,74.52,24.92
CC(C)Oc1cccc(C(C)NC(=O)c2ccc3c(=O)n(C)c(=O)n(C)c3n2)c1,71.08,36.85
Cc1nc2cc(F)cc(C(=O)NCc3ccnc(N4CCOCC4)c3)c2nc1C,73.14,26.55
CC(C)Cn1c(SCC(=O)N2CC(=O)Nc3ccccc32)nnc1-c1ccccc1F,59.09,26.93
COc1ccc(OC)c(NC(=O)CSc2nnc(-c3ccccc3F)n2CC(C)C)c1,49.02,28.2
CC(C)Cn1c(SCC(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)nnc1-c1ccccc1F,42.63,28.14
CCc1ccccc1NC(=O)CN(C)C(=O)C(C)Sc1nnc(-c2ccccc2F)n1CC(C)C,40.4,29.47
CCC(C)n1c(SCC(=O)c2[nH]c(C)c(C(=O)OC)c2C)nnc1-c1cccc(S(=O)(=O)N2CCOCC2)c1,21.82,37.72
CN(C)C(CNC(=O)c1cc(C2CC2)nn1C(C)(C)C)c1ccco1,87.43,26.6
CCc1ccc(OCc2nnc(SCC(=O)Nc3nc(-c4ccc(Cl)c(Cl)c4)cs3)n2CC(C)C)cc1,18.97,50.91
CCc1ccc(OCc2nnc(SCC(=O)c3c(-c4ccccc4)n(C)c4ccccc34)n2CC(C)C)cc1,13.13,30
CC(C(=O)NCC(=O)Nc1ccc(F)c(F)c1F)N1CCCc2ccccc21,77.07,24.67
O=C(Nc1ccc2c(c1)OCCCO2)C1CCCN1c1ncc(C(F)(F)F)cc1Cl,75.82,24.62
Cc1cc(NC2CCCN(c3ncccn3)C2)nc(-c2cccc([N+](=O)[O-])c2)n1,52.13,24.84
N#Cc1cn(Cc2ccnc(Oc3ccccc3)c2)c(=O)[nH]c1=O,78.73,28.56
COc1ccc(C(=O)Nc2nc(C)cs2)cc1NC(=O)Cc1ccc(C(F)(F)F)cc1,56.03,24.64
CCc1ccc(NC(=O)C(C)Sc2nnc(-c3cccc(S(=O)(=O)N(CC)CC)c3)n2C(C)COC)cc1,29.8,38.19
Cc1nc2c(cc1C(=O)NCC(c1ccco1)N(C)C)c(C)nn2C,76.99,26.49
COc1ccc(-n2ncc(C(=O)Nc3cccc(-n4nnnc4C)c3)c2C(F)(F)F)nn1,49.58,31.66
O=C1CN(c2ccc(NC(=O)c3ccc(Cl)cc3N3CCCC3=O)cn2)CCN1,79.95,32.77
O=C1CN(C(=O)CSc2nc3cc(S(=O)(=O)N4CCOCC4)ccc3o2)c2ccccc2N1,54.09,28.08
CSc1ccccc1NC(=O)CN(C)C(=O)CCC1Cc2ccccc2NC1=O,68.48,27.65
O=C(c1cnc2n(c1=O)CCS2)N1CCCN(c2ncc(C(F)(F)F)cc2Cl)CC1,64.31,40.96
Cc1ccn2c(=O)c(C(=O)NCc3ccccc3CN3CCCC(C)C3)cnc2c1,70.94,27.77
CC(=O)c1csc(NC(=O)c2cc(C(C)C)nc3c2c(C)nn3C(C)(C)C)n1,65.11,23.97
CCc1nn2c(=O)cc(CNc3cccc(S(=O)(=O)C4CCCC4)c3)nc2s1,66.13,25.23
Cc1cc(C(=O)NCCOc2c(C)cccc2C)c2c(C)nn(C)c2n1,71.68,26.51
Cc1cc(NC(=O)C(C)(C)C)sc1C(=O)NCC(c1c(F)cccc1Cl)N1CCCC1,59.99,35.76
Cc1cc(-c2csc(NC(=O)C3CCc4cnn(C)c4C3)n2)c(C)o1,77.95,27.52
Cc1nn(C)c2nc(C3CC3)cc(C(=O)NCC(c3ccco3)N(C)C)c12,72.49,35.36
